species,location,soil,moisture,minimum_temperature_C,maximum_temperature_C,day_of_treatment,seedling_emergence_perc,source
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,8,86,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,9,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,10,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,13,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,14,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,16,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,17,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,20,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,21,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,23,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,28,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,10,20,31,90,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,0,0,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,2,2,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,3,3,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,4,50,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,5,84,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,6,85,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,7,86,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,8,86,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
typha latifolia,Oostvaardersplassen,sand,very wet,15,25,9,86,"ter Heerdt, Gerard & Veen, Ciska & Putten, Wim & Bakker, Jan. (2016). Effects of temperature, moisture and soil type on seedling emergence and mortality of riparian plant species. Aquatic Botany. 136. 10.1016/j.aquabot.2016.09.008."
